id,left,top,right,bottom,row_index,col_index,상가수,역명,역 거리,대로변,대로변 거리,일수_sum,상가밀도점수,팝업 점수,역 점수,대로변 점수,최종지수
1228,958277.4377,1952051.879,958375.4377,1951951.879,8,23,0,상왕십리역,244.8003968,11000UQ151PS201912165126,407.5913972,0,0,0,0.86,0.792,0.496
1229,958277.4377,1951951.879,958375.4377,1951851.879,9,23,9,상왕십리역,159.2951938,11000UQ151PS201912165126,425.3867973,0,0.049,0,0.909,0.783,0.527
1230,958277.4377,1951851.879,958375.4377,1951751.879,10,23,15,상왕십리역,104.1049389,11000UQ151PS201912151746,98.85460262,0,0.081,0,0.941,0.95,0.6
1277,958375.4377,1952451.879,958473.4377,1952351.879,4,24,1,상왕십리역,598.358665,11000UQ151PS201912151822,78.47261363,0,0.005,0,0.658,0.96,0.487
1278,958375.4377,1952351.879,958473.4377,1952251.879,5,24,2,상왕십리역,522.8407993,11000UQ151PS201912151822,106.7142052,0,0.011,0,0.702,0.946,0.499
1279,958375.4377,1952251.879,958473.4377,1952151.879,6,24,0,상왕십리역,422.805808,11000UQ151PS201912165126,355.4749465,0,0,0,0.759,0.819,0.473
1280,958375.4377,1952151.879,958473.4377,1952051.879,7,24,0,상왕십리역,322.7726106,11000UQ151PS201912151240,117.1487403,0,0,0,0.816,0.94,0.527
1281,958375.4377,1952051.879,958473.4377,1951951.879,8,24,0,상왕십리역,222.7436243,11000UQ151PS201912165126,309.7794555,0,0,0,0.873,0.842,0.515
1282,958375.4377,1951951.879,958473.4377,1951851.879,9,24,0,상왕십리역,122.7291456,11000UQ151PS201912165126,332.8460497,0,0,0,0.93,0.83,0.528
1283,958375.4377,1951851.879,958473.4377,1951751.879,10,24,15,상왕십리역,22.91988839,11000UQ151PS201912161465,47.82102598,0,0.081,0,0.987,0.976,0.621
1284,958375.4377,1951751.879,958473.4377,1951651.879,11,24,15,상왕십리역,77.48132962,11000UQ151PS201912158779,46.28929969,0,0.081,0,0.956,0.976,0.612
1330,958473.4377,1952451.879,958571.4377,1952351.879,4,25,0,상왕십리역,592.5621652,11000UQ151PS201912161904,57.09706494,0,0,0,0.662,0.971,0.49
1331,958473.4377,1952351.879,958571.4377,1952251.879,5,25,0,상왕십리역,531.293298,11000UQ151PS201912150951,261.5328489,0,0,0,0.697,0.867,0.469
1332,958473.4377,1952251.879,958571.4377,1952151.879,6,25,9,상왕십리역,433.2145067,11000UQ151PS201912150951,161.9205876,0,0.049,0,0.753,0.917,0.521
1333,958473.4377,1952151.879,958571.4377,1952051.879,7,25,9,상왕십리역,336.2918498,11000UQ151PS201912150951,63.65754429,0,0.049,0,0.808,0.968,0.552
1334,958473.4377,1952051.879,958571.4377,1951951.879,8,25,23,상왕십리역,241.918926,11000UQ151PS201912165126,212.1754599,0,0.124,0,0.862,0.892,0.576
1335,958473.4377,1951951.879,958571.4377,1951851.879,9,25,22,상왕십리역,154.8340438,11000UQ151PS201912150951,140.5881814,0,0.119,0,0.912,0.928,0.6
1336,958473.4377,1951851.879,958571.4377,1951751.879,10,25,23,상왕십리역,63.39259108,11000UQ151PS201912150951,239.8443772,0,0.124,0,0.964,0.878,0.602
1337,958473.4377,1951751.879,958571.4377,1951651.879,11,25,51,상왕십리역,123.5517134,11000UQ151PS201912150951,348.6710302,0,0.276,0,0.929,0.822,0.636
1383,958571.4377,1952451.879,958669.4377,1952351.879,4,26,0,상왕십리역,620.8782866,11000UQ151PS201912161904,165.0748486,0,0,0,0.646,0.916,0.469
1384,958571.4377,1952351.879,958669.4377,1952251.879,5,26,0,상왕십리역,557.140196,11000UQ151PS201912163027,160.6322631,0,0,0,0.682,0.918,0.48
1385,958571.4377,1952251.879,958669.4377,1952151.879,6,26,1,상왕십리역,464.5507818,11000UQ151PS201912163027,95.29236178,0,0.005,0,0.735,0.951,0.508
1386,958571.4377,1952151.879,958669.4377,1952051.879,7,26,2,상왕십리역,375.79891,11000UQ151PS201912165126,135.9708777,0,0.011,0,0.785,0.931,0.519
1387,958571.4377,1952051.879,958669.4377,1951951.879,8,26,12,상왕십리역,294.3762453,11000UQ151PS201912165126,115.3087028,0,0.065,0,0.832,0.941,0.558
1388,958571.4377,1951951.879,958669.4377,1951851.879,9,26,18,상왕십리역,228.2653892,11000UQ151PS201912165126,167.6880485,0,0.097,0,0.87,0.915,0.574
1389,958571.4377,1951851.879,958669.4377,1951751.879,10,26,18,상왕십리역,193.8245678,11000UQ151PS201912165126,250.9135979,0,0.097,0,0.889,0.872,0.567
1390,958571.4377,1951751.879,958669.4377,1951651.879,11,26,29,상왕십리역,207.4748582,11000UQ151PS201912153714,174.5991585,0,0.157,0,0.882,0.911,0.601
1436,958669.4377,1952451.879,958767.4377,1952351.879,4,27,0,상왕십리역,678.2924155,11000UQ151PS201912161905,236.2867452,0,0,0,0.613,0.88,0.448
1437,958669.4377,1952351.879,958767.4377,1952251.879,5,27,8,상왕십리역,598.1307513,11000UQ151PS201912163027,133.8905235,0,0.043,0,0.659,0.932,0.495
1438,958669.4377,1952251.879,958767.4377,1952151.879,6,27,2,상왕십리역,512.9937788,11000UQ151PS201912163027,34.70707258,0,0.011,0,0.707,0.982,0.511
1439,958669.4377,1952151.879,958767.4377,1952051.879,7,27,5,상왕십리역,434.2579896,11000UQ151PS201912165126,77.38419428,0,0.027,0,0.752,0.961,0.525
1440,958669.4377,1952051.879,958767.4377,1951951.879,8,27,28,상왕십리역,366.0772447,11000UQ151PS201912165126,28.2193263,0,0.151,0,0.791,0.986,0.594
1441,958669.4377,1951951.879,958767.4377,1951851.879,9,27,13,상왕십리역,315.3732071,11000UQ151PS201912165126,124.9780642,0,0.07,0,0.82,0.936,0.555
