"기준_년분기_코드","행정동_코드","행정동_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20201","11560515","영등포본동","3286751","07","2655209000","989775000","65684000","22144000","287168000","111222000","113997000","71619000","219027000","130197000","644376000"
"20201","11545710","시흥5동","2375052","05","1413741000","553614000","12844000","23741000","107438000","13478000","43196000","76944000","108763000","103446000","370277000"
"20201","11545700","시흥4동","2405620","05","984447000","494730000","8742000","33221000","160991000","18548000","43967000","26119000","16993000","21612000","159524000"
"20201","11545690","시흥3동","2516251","06","1045619000","371172000","6575000","52226000","32822000","243700000","27098000","34126000","36784000","11828000","229288000"
"20201","11545680","시흥2동","3181421","07","569141000","314342000","12211000","1515000","45485000","0","74084000","10503000","21873000","21913000","67215000"
"20201","11545670","시흥1동","2757307","06","8224735000","2734857000","94861000","102939000","1049293000","905189000","268327000","325694000","410129000","247588000","2085858000"
"20201","11545640","독산4동","2255044","05","1983733000","291308000","21505000","55388000","258866000","216512000","43074000","219424000","122240000","82498000","672918000"
"20201","11545630","독산3동","2386851","05","3492317000","1265988000","102355000","59708000","591216000","202500000","131354000","186286000","188317000","112676000","651917000"
"20201","11545620","독산2동","2251577","05","2179981000","957609000","22941000","29643000","122352000","244472000","92669000","71171000","171219000","33614000","434291000"
"20201","11545610","독산1동","3000453","07","9692360000","2431665000","69508000","317444000","3373177000","707637000","205400000","237526000","601771000","271868000","1476364000"
"20201","11545510","가산동","2567594","06","72736652000","2813208000","12188867000","46789078000","2282418000","409483000","450577000","450522000","2009818000","725112000","4617569000"
"20201","11530800","항동","3007261","07","474767000","310258000","5944000","1492000","21493000","4388000","59961000","0","5599000","6419000","59213000"
"20201","11530790","수궁동","2682295","06","2133015000","422992000","20032000","3905000","121021000","662344000","418531000","56950000","74432000","28644000","324164000"
"20201","11530780","오류2동","2781178","06","3808965000","2016030000","46913000","35017000","255232000","80061000","295722000","85281000","141686000","130289000","722734000"
"20201","11530770","오류1동","2574851","06","2848171000","915170000","47889000","14629000","587675000","123040000","67002000","166209000","187641000","144267000","594649000"
"20201","11530760","개봉3동","2512790","06","2411410000","1391427000","92259000","23832000","194212000","53696000","47259000","56417000","34883000","59528000","457897000"
"20201","11530750","개봉2동","3068971","07","2823472000","979099000","41907000","20355000","462405000","12266000","181193000","117689000","164360000","130736000","713462000"
"20201","11530740","개봉1동","2805757","06","3794178000","1588634000","64521000","115808000","556680000","200542000","78029000","83112000","122860000","184640000","799352000"
"20201","11530730","고척2동","2882639","06","2374627000","1107236000","22248000","27093000","336100000","99264000","101187000","77529000","72227000","46425000","485318000"
"20201","11530720","고척1동","2972418","06","5196750000","2138515000","32845000","58150000","942725000","108523000","182984000","215345000","416078000","89092000","1012493000"
"20201","11530595","가리봉동","2336331","05","1122039000","329272000","3002000","45074000","242409000","31984000","2111000","86022000","44497000","20793000","316875000"
"20201","11530560","구로5동","3213284","07","8984428000","2319881000","127617000","831314000","1674170000","39739000","146077000","338434000","735255000","471184000","2300757000"
"20201","11530550","구로4동","2617060","06","3740272000","1322731000","133528000","106168000","491427000","93739000","95035000","170687000","193720000","98613000","1034624000"
"20201","11530540","구로3동","2888444","06","805881338000","2007919000","445278000","240080000","2506985000","3757354000","393901000","854425000","790274147000","563273000","4837976000"
"20201","11530530","구로2동","2453690","06","10045479000","923712000","40780000","476363000","6923336000","132758000","50230000","143822000","194878000","77123000","1082477000"
"20201","11530520","구로1동","3368067","07","2059414000","555004000","10014000","10199000","121449000","761002000","84807000","57411000","84785000","88123000","286620000"
"20201","11530510","신도림동","4380318","08","8765633000","1000506000","53798000","42416000","1030063000","62893000","389618000","243018000","4026214000","350690000","1566417000"
"20201","11500641","방화3동","3044446","07","1586249000","882524000","2361000","4445000","162786000","37802000","36511000","35947000","109264000","55254000","259355000"
"20201","11500640","방화2동","2708397","06","6459526000","1270805000","39301000","74053000","674969000","585332000","30589000","105006000","2763910000","191226000","724335000"
"20201","11500630","방화1동","3407916","07","5701647000","1505308000","86489000","69758000","898612000","170077000","574696000","163973000","485298000","269225000","1478211000"
"20201","11500620","공항동","2896818","06","9767284000","1384743000","81750000","194157000","1051073000","3869495000","158916000","170436000","1325592000","112181000","1418941000"
"20201","11500615","우장산동","4135674","08","5910482000","1696818000","228151000","293450000","1297085000","147548000","644200000","121449000","233227000","316956000","931598000"
"20201","11500611","발산1동","3192517","07","13442127000","3433262000","53112000","94672000","4710432000","591600000","1095993000","80523000","1359023000","319569000","1703941000"
"20201","11500605","가양3동","3047051","07","499341000","169595000","3059000","11627000","52094000","63263000","35621000","1956000","16618000","37079000","108429000"
"20201","11500604","가양2동","3065320","07","2899900000","1643426000","26185000","1930000","486293000","182013000","28405000","12988000","116333000","132437000","269890000"
"20201","11500603","가양1동","3560388","07","50065267000","2619471000","112464000","302180000","19368732000","2327761000","273350000","1005099000","3481878000","14020437000","6553895000"
"20201","11500593","화곡8동","2473381","06","3592575000","1332368000","97124000","44335000","397992000","4629000","182719000","143371000","189009000","185013000","1016015000"
"20201","11500591","화곡6동","3040513","07","6379632000","1184862000","51199000","27421000","1189730000","539448000","57277000","1105365000","311403000","180999000","1731928000"
"20201","11500590","화곡본동","2398795","05","5243634000","1655550000","38631000","66027000","876444000","819523000","225947000","147446000","222327000","139628000","1052111000"
"20201","11500570","화곡4동","2423768","05","3645922000","804343000","72812000","160010000","431940000","589217000","115092000","199084000","335778000","166873000","770773000"
"20201","11500560","화곡3동","3132782","07","3991163000","881260000","53243000","20998000","750861000","4651000","255121000","199672000","316375000","157578000","1351404000"
"20201","11500550","화곡2동","2385531","05","1668289000","388083000","23082000","112063000","163498000","495407000","90669000","27202000","117770000","31574000","218941000"
"20201","11500540","화곡1동","2485455","06","9169247000","2468503000","237141000","132842000","1352394000","363597000","122241000","877171000","779161000","333921000","2502276000"
"20201","11500535","등촌3동","3403390","07","7788177000","1373946000","16830000","236829000","2587241000","100234000","503924000","179637000","386841000","482258000","1920437000"
"20201","11500530","등촌2동","3352636","07","2314212000","394983000","670177000","28142000","151342000","316797000","45848000","56335000","57893000","48194000","544501000"
"20201","11500520","등촌1동","3322838","07","6318096000","633804000","85286000","153201000","1006416000","1225468000","237743000","212249000","1234861000","196155000","1332913000"
"20201","11500510","염창동","4127504","08","5141424000","1304929000","76496000","191237000","526256000","625479000","524319000","119831000","423089000","213034000","1136754000"
"20201","11470680","신정7동","4094404","08","3184650000","1322371000","17761000","3080000","302132000","398948000","370515000","38824000","125860000","62400000","542759000"
"20201","11470670","신정6동","5384412","09","2173895000","564462000","20811000","0","127418000","194815000","856554000","25081000","111993000","21401000","251360000"
